blnid,flnid,bdid,fdid,bpid,fpid,bx,by,bh,fx,fy,fh,bx_1,by_1,bh_1,lcnt,lno,lanetype,limitvel,lanecfgfg,blid1,blid2,blid3,blid4,flid1,flid2,flid3,flid4
851.0,948.0,27.0,2415.0,96829.0,89838.0,6752.8176624500375,-8237.52495364618,-62.47902987633188,6744.553720987982,-8219.801729159062,-62.45630613050207,6752.733267187538,-8237.343613027993,-62.480705151233906,0.0,0.0,0.0,25.0,0.0,968.0,0.0,0.0,0.0,682.0,0.0,0.0,0.0
949.0,968.0,2922.0,27.0,96928.0,96829.0,6754.461732675779,-8241.052578323772,-62.473350502875746,6752.8176624500375,-8237.52495364618,-62.47902987633188,6754.377330293665,-8240.87124161509,-62.47202564894906,0.0,0.0,0.0,25.0,0.0,1078.0,0.0,0.0,0.0,851.0,14508.0,0.0,0.0
969.0,1078.0,1.0,23.0,90008.0,96928.0,6763.732024607352,-8260.933912284792,-62.55302240879246,6754.461732675779,-8241.052578323772,-62.473350502875746,6763.647664096342,-8260.752576920182,-62.55069690817254,1.0,1.0,0.0,25.0,1.0,1081.0,0.0,0.0,0.0,949.0,14457.0,0.0,0.0
1079.0,1081.0,417.0,1.0,96949.0,90008.0,6763.958124137831,-8261.418465090908,-62.55689293296609,6763.732024607352,-8260.933912284792,-62.55302240879246,6763.8737215280535,-8261.237128444327,-62.55556737131201,0.0,0.0,0.0,25.0,0.0,1155.0,14456.0,0.0,0.0,969.0,0.0,0.0,0.0
1082.0,1155.0,402.0,417.0,96953.0,96949.0,6770.195152729623,-8274.770576870396,-62.596905459572554,6763.958124137831,-8261.418465090908,-62.55689293296609,6770.110748918086,-8274.589250035862,-62.59657944610035,0.0,0.0,0.0,25.0,0.0,1304.0,0.0,0.0,0.0,1079.0,0.0,0.0,0.0
1156.0,1304.0,2899.0,402.0,90119.0,96953.0,6782.791200147647,-8301.734572494239,-62.57750248025059,6770.195152729623,-8274.770576870396,-62.596905459572554,6782.706823006999,-8301.554248253118,-62.58117687623371,1.0,1.0,0.0,25.0,1.0,1377.0,14364.0,0.0,0.0,1082.0,14365.0,0.0,0.0
1305.0,1377.0,358.0,2899.0,97028.0,90119.0,6788.914681082835,-8314.8439483103,-62.62217936881734,6782.791200147647,-8301.734572494239,-62.57750248025059,6788.830308033834,-8314.663596117878,-62.62185327296356,0.0,0.0,0.0,25.0,0.0,1383.0,0.0,0.0,0.0,1156.0,0.0,0.0,0.0
1378.0,1383.0,357.0,358.0,97102.0,97028.0,6789.3907489581825,-8315.86257074906,-62.62702076702044,6788.914681082835,-8314.8439483103,-62.62217936881734,6789.305350697809,-8315.681234715876,-62.6256922534576,0.0,0.0,0.0,25.0,0.0,1531.0,0.0,0.0,0.0,1305.0,14269.0,0.0,0.0
1384.0,1531.0,3137.0,357.0,90269.0,97102.0,6810.405416936715,-8326.785270963235,-62.67273807369838,6789.3907489581825,-8315.86257074906,-62.62702076702044,6810.225116013392,-8326.871666149711,-62.67265903065436,1.0,1.0,0.0,25.0,1.0,1533.0,0.0,0.0,0.0,1378.0,0.0,0.0,0.0
1532.0,1533.0,327.0,3137.0,97109.0,90269.0,6810.69668855304,-8326.646831414175,-62.672867259364466,6810.405416936715,-8326.785270963235,-62.67273807369838,6810.516387181158,-8326.732218837646,-62.67278688385932,0.0,0.0,0.0,25.0,0.0,1603.0,15319.0,0.0,0.0,1384.0,0.0,0.0,0.0
1534.0,1603.0,313.0,327.0,97112.0,97109.0,6823.3240452539985,-8320.618373163632,-62.68744839592864,6810.69668855304,-8326.646831414175,-62.672867259364466,6823.14376498242,-8320.704735272824,-62.687368882990995,0.0,0.0,0.0,25.0,0.0,1606.0,0.0,0.0,0.0,1532.0,0.0,0.0,0.0
1604.0,1606.0,3105.0,313.0,97183.0,97112.0,6823.853082679611,-8320.365450833038,-62.686682429161465,6823.3240452539985,-8320.618373163632,-62.68744839592864,6823.6727819134485,-8320.45184618149,-62.686602919837696,0.0,0.0,0.0,25.0,0.0,1664.0,0.0,0.0,0.0,1534.0,15185.0,0.0,0.0
1607.0,1664.0,301.0,3105.0,90418.0,97183.0,6834.147454267552,-8315.450750099144,-62.64025605611414,6823.853082679611,-8320.365450833038,-62.686682429161465,6833.96714121857,-8315.537142955754,-62.64217617616714,1.0,1.0,0.0,25.0,1.0,5351.0,1849.0,0.0,0.0,1604.0,0.0,0.0,0.0
1665.0,1849.0,264.0,301.0,94783.0,90418.0,6853.369045829668,-8287.862861791347,-62.47077560052048,6834.147454267552,-8315.450750099144,-62.64025605611414,6853.407749000996,-8288.059051240481,-62.46907342127042,2.0,2.0,0.0,25.0,0.0,1934.0,14196.0,0.0,0.0,1607.0,0.0,0.0,0.0
1850.0,1934.0,247.0,264.0,97187.0,94783.0,6846.746120067058,-8272.34567638536,-62.522417289024816,6853.369045829668,-8287.862861791347,-62.47077560052048,6846.830513463527,-8272.527012570925,-62.52374425280277,0.0,0.0,0.0,25.0,0.0,2084.0,0.0,0.0,0.0,1665.0,0.0,0.0,0.0
1935.0,2084.0,3032.0,247.0,96546.0,97187.0,6834.093840461136,-8245.25985457522,-62.48860031120603,6846.746120067058,-8272.34567638536,-62.522417289024816,6834.178243813752,-8245.441190837773,-62.48992634743263,2.0,2.0,0.0,25.0,0.0,68.0,14896.0,0.0,0.0,1850.0,0.0,0.0,0.0
2085.0,2151.0,2244.0,2242.0,97273.0,97340.0,6837.096129123067,-8243.853600817058,-62.50398909206751,6831.451336997696,-8231.742812658686,-62.47722050637094,6837.011734929626,-8243.672263267003,-62.50366307458853,0.0,0.0,0.0,25.0,0.0,2301.0,0.0,0.0,0.0,4142.0,0.0,0.0,0.0
2152.0,2301.0,600.0,630.0,95120.0,97273.0,6849.7111605393575,-8270.92121978337,-62.486742233782024,6837.096129123067,-8243.853600817058,-62.50398909206751,6849.626753640865,-8270.739890780398,-62.488415277186505,2.0,2.0,0.0,25.0,0.0,2311.0,0.0,0.0,0.0,2085.0,11525.0,0.0,0.0
2302.0,2311.0,598.0,600.0,97341.0,95120.0,6850.53529021551,-8272.690983556031,-62.496934041510485,6849.7111605393575,-8270.92121978337,-62.486742233782024,6850.450886515196,-8272.509647395258,-62.49560701216569,0.0,0.0,0.0,25.0,0.0,2374.0,15007.0,0.0,0.0,2152.0,0.0,0.0,0.0
2312.0,2374.0,2816.0,598.0,97352.0,97341.0,6855.659402309928,-8284.05911794245,-62.364268408943644,6850.53529021551,-8272.690983556031,-62.496934041510485,6855.5928563691505,-8283.870443071412,-62.37095060333377,0.0,0.0,0.0,25.0,0.0,2655.0,0.0,0.0,0.0,2302.0,0.0,0.0,0.0
2375.0,2655.0,529.0,2816.0,95271.0,97352.0,6825.233994119285,-8323.404247883476,-62.69314471367397,6855.659402309928,-8284.05911794245,-62.364268408943644,6825.414293839949,-8323.317840130938,-62.69422421130457,2.0,2.0,0.0,25.0,0.0,2667.0,0.0,0.0,0.0,2312.0,14067.0,0.0,0.0
2656.0,2667.0,527.0,529.0,97416.0,95271.0,6823.093089739335,-8324.42529978139,-62.701194753768505,6825.233994119285,-8323.404247883476,-62.69314471367397,6823.273401898285,-8324.33893897202,-62.70027424872842,0.0,0.0,0.0,25.0,0.0,2727.0,15284.0,0.0,0.0,2375.0,0.0,0.0,0.0
