0,9.98739e-31,-0.212936,0,0,6.65372e-39,
6831.81,-8314.79,-62.6769,6831.63,-8314.87,-62.6778,
0,9.98739e-31,-0.212936,0,0,6.65372e-39,
6779.31,-8207.32,-62.489,6779.13,-8207.4,-62.4859,
0,9.98739e-31,-0.212936,0,0,6.65372e-39,
6779.31,-8207.32,-62.489,6779.13,-8207.4,-62.4859,
0,9.98739e-31,-0.212936,0,0,6.65372e-39,
6779.31,-8207.32,-62.489,6779.13,-8207.4,-62.4859,
0,9.98739e-31,-0.212936,0,0,6.65372e-39,
6779.31,-8207.32,-62.489,6779.13,-8207.4,-62.4859,
6765.3,-8179.94,-62.4388,6765.12,-8180.02,-62.4447,
6779.13,-8207.4,-62.4859,6778.95,-8207.49,-62.4818,
6765.3,-8179.94,-62.4388,6765.12,-8180.02,-62.4447,
6766.55,-8182.82,-62.4268,6766.37,-8182.9,-62.4267,
6765.3,-8179.94,-62.4388,6765.12,-8180.02,-62.4447,
6766.55,-8182.82,-62.4268,6766.37,-8182.9,-62.4267,
6765.3,-8179.94,-62.4388,6765.12,-8180.02,-62.4447,
6766.55,-8182.82,-62.4268,6766.37,-8182.9,-62.4267,
6764.76,-8180.19,-62.4555,6764.58,-8180.28,-62.4614,
6766.19,-8182.99,-62.4266,6766.01,-8183.07,-62.4265,
6764.22,-8180.45,-62.4673,6764.03,-8180.53,-62.4672,
6765.64,-8183.24,-62.4264,6765.46,-8183.32,-62.4263,
6763.67,-8180.7,-62.466,6763.49,-8180.78,-62.4659,
6765.1,-8183.49,-62.4251,6764.92,-8183.58,-62.425,
6763.13,-8180.95,-62.4648,6762.95,-8181.04,-62.4647,
6764.56,-8183.75,-62.4249,6764.38,-8183.83,-62.4248,
6762.77,-8181.12,-62.4646,6762.59,-8181.21,-62.4645,
6764.2,-8183.91,-62.4247,6764.01,-8184,-62.4246,
6762.04,-8181.46,-62.4633,6761.86,-8181.55,-62.4622,
6763.47,-8184.25,-62.4244,6763.29,-8184.34,-62.4243,
6761.5,-8181.71,-62.462,6761.32,-8181.8,-62.4619,
